CustomerID,CustomerName,Email,Country
1,"Customer_1","customer1@example.com","USA"
2,"Customer_2","customer2@example.com","UK"
3,"Customer_3","customer3@example.com","India"
4,"Customer_4","customer4@example.com","USA"
5,"Customer_5","customer5@example.com","UK"
6,"Customer_6","customer6@example.com","India"
7,"Customer_7","customer7@example.com","USA"
8,"Customer_8","customer8@example.com","UK"
9,"Customer_9","customer9@example.com","India"
10,"Customer_10","customer10@example.com","USA"
11,"Customer_11","customer11@example.com","UK"
12,"Customer_12","customer12@example.com","India"
13,"Customer_13","customer13@example.com","USA"
14,"Customer_14","customer14@example.com","UK"
15,"Customer_15","customer15@example.com","India"
16,"Customer_16","customer16@example.com","USA"
17,"Customer_17","customer17@example.com","UK"
18,"Customer_18","customer18@example.com","India"
19,"Customer_19","customer19@example.com","USA"
20,"Customer_20","customer20@example.com","UK"
21,"Customer_21","customer21@example.com","India"
22,"Customer_22","customer22@example.com","USA"
23,"Customer_23","customer23@example.com","UK"
24,"Customer_24","customer24@example.com","India"
25,"Customer_25","customer25@example.com","USA"
26,"Customer_26","customer26@example.com","UK"
27,"Customer_27","customer27@example.com","India"
28,"Customer_28","customer28@example.com","USA"
29,"Customer_29","customer29@example.com","UK"
30,"Customer_30","customer30@example.com","India"
31,"Customer_31","customer31@example.com","USA"
32,"Customer_32","customer32@example.com","UK"
33,"Customer_33","customer33@example.com","India"
34,"Customer_34","customer34@example.com","USA"
35,"Customer_35","customer35@example.com","UK"
36,"Customer_36","customer36@example.com","India"
37,"Customer_37","customer37@example.com","USA"
38,"Customer_38","customer38@example.com","UK"
39,"Customer_39","customer39@example.com","India"
40,"Customer_40","customer40@example.com","USA"
41,"Customer_41","customer41@example.com","UK"
42,"Customer_42","customer42@example.com","India"
43,"Customer_43","customer43@example.com","USA"
44,"Customer_44","customer44@example.com","UK"
45,"Customer_45","customer45@example.com","India"
46,"Customer_46","customer46@example.com","USA"
47,"Customer_47","customer47@example.com","UK"
48,"Customer_48","customer48@example.com","India"
49,"Customer_49","customer49@example.com","USA"
50,"Customer_50","customer50@example.com","UK"
51,"Customer_51","customer51@example.com","India"
52,"Customer_52","customer52@example.com","USA"
53,"Customer_53","customer53@example.com","UK"
54,"Customer_54","customer54@example.com","India"
55,"Customer_55","customer55@example.com","USA"
